"DFT","def2-SVP","def2-TZVP","def2-TZVPP","def2-QZVP","def2-QZVPP"
"PBE",5.50245,1.60629,1.2412,0.888129999999999,0.888129999999999
"PBE-D3",6.449,2.287,1.878,1.041,1.041
"B3LYP",4.36682,0.79193,0.780979999999999,1.17517,1.17517
"B3LYP-D3",5.855,1.734,1.293,0.554,0.554
"BP86",4.11278,0.83388,0.818739999999999,1.16783,1.16783
"BP86-D3",5.526,1.661,1.204,0.568999999999999,0.568999999999999
"B2PLYP",3.15868,0.93729,1.14485,1.61486,1.61486
"B2PLYP-D3",5.083,1.386,1.151,0.509999999999999,0.509999999999999
"B97",2.48628,1.5594,1.86253,2.63104,2.63104
"B97-D3",4.878,0.938999999999999,0.588,0.627999999999999,0.627999999999999
"mPW2PLYP",3.99763,0.86479,0.746089999999999,1.04839,1.04839
"mPW2PLYP-D3",10.827,7.073,6.839,6.182,6.182
"WB97X",4.31008,1.17038,0.843679999999999,0.77687,0.77687
"WB97X-D3",5.003,1.495,1.127,0.473,0.473
"TPSS",4.2597,0.436699999999999,0.381,0.7934,0.7934
"TPSS-D3",5.4438,1.5953,1.2118,0.59966,0.59966
"M06",4.3054,0.954600000000001,0.537599999999999,0.43208,0.43208
"M062X",4.8339,1.66,1.3262,0.742000000000001,0.742000000000001
"M06L",3.0079,1.0427,0.456399999999999,0.402299999999999,0.402299999999999
