"N","MolID","Expt","G100","G103","G104","G105","G106","G107","G108","G109","G118","G127","G136"
"1","1",1.99,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25
"2","2",1.82,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55
"3","3",1.96,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82
"4","4",2.07,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1
"5","5",2.31,2.06,2.06,2.06,2.06,2.06,2.06,2.06,2.06,2.06,2.06,2.06
"6","6",2.31,2.37,2.37,2.37,2.37,2.37,2.37,2.37,2.37,2.37,2.37,2.37
"7","7",2.38,2.31,2.31,2.31,2.31,2.31,2.31,2.31,2.31,2.31,2.31,2.3
"8","8",2.5,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.24,2.24,2.23
"9","9",2.48,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65
"10","10",2.5,2.59,2.58,2.58,2.58,2.58,2.58,2.58,2.58,2.58,2.58,2.58
"11","11",2.5,2.56,2.56,2.56,2.56,2.56,2.56,2.56,2.56,2.55,2.55,2.55
"12","12",2.5,2.47,2.47,2.47,2.47,2.47,2.47,2.47,2.47,2.46,2.46,2.46
"13","13",2.34,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.49,2.49,2.49
"14","14",2.67,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92
"15","15",2.92,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.85
"16","16",2.71,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83
"17","17",2.87,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.74,2.73,2.73,2.73
"18","18",2.52,2.75,2.75,2.75,2.75,2.75,2.75,2.74,2.74,2.74,2.74,2.74
"19","19",2.83,2.79,2.79,2.79,2.79,2.79,2.79,2.79,2.79,2.79,2.78,2.78
