"N","MolID","Expt","G100","G109","G118","G119","G120","G121","G122","G123","G124","G127","G137"
"1",1,1.99,1.247,1.247,1.247,1.2469,1.2469,1.2469,1.2469,1.2469,1.2469,1.247,1.247
"2",2,1.82,1.55,1.55,1.55,1.55034,1.55035,1.55036,1.55037,1.55038,1.55039,1.55,1.551
"3",3,1.96,1.825,1.825,1.825,1.82462,1.82456,1.82457,1.82458,1.82458,1.82459,1.825,1.825
"4",4,2.07,2.099,2.099,2.099,2.0985,2.0985,2.0985,2.09849,2.09848,2.09848,2.098,2.098
"5",5,2.31,2.065,2.065,2.065,2.06511,2.06509,2.06507,2.06504,2.06501,2.06499,2.065,2.065
"6",6,2.31,2.373,2.373,2.373,2.3732,2.37319,2.37317,2.37316,2.37314,2.37312,2.373,2.373
"7",7,2.38,2.312,2.312,2.311,2.31065,2.31056,2.3105,2.3104,2.3103,2.3102,2.31,2.309
"8",8,2.5,2.264,2.264,2.262,2.26241,2.26229,2.26217,2.26205,2.26193,2.2618,2.261,2.26
"9",9,2.48,2.648,2.648,2.648,2.64766,2.64759,2.64753,2.64757,2.64755,2.64752,2.647,2.647
"10",10,2.5,2.588,2.588,2.587,2.58697,2.58687,2.58679,2.58675,2.58668,2.58658,2.586,2.585
"11",11,2.5,2.561,2.56,2.558,2.55827,2.55813,2.55797,2.55782,2.55767,2.55752,2.557,2.556
"12",12,2.5,2.484,2.483,2.481,2.48123,2.48105,2.48089,2.48073,2.48057,2.48041,2.48,2.479
"13",13,2.34,2.507,2.506,2.505,2.50494,2.5048,2.50466,2.50452,2.5044,2.50426,2.504,2.502
"14",14,2.67,2.923,2.922,2.922,2.92206,2.92199,2.92197,2.92198,2.9219,2.92187,2.922,2.922
"15",15,2.92,2.863,2.862,2.861,2.8613,2.86121,2.86112,2.86102,2.8609,2.8608,2.861,2.86
"16",16,2.71,2.837,2.836,2.835,2.83449,2.83438,2.83426,2.83413,2.83399,2.83385,2.834,2.832
"17",17,2.87,2.752,2.751,2.75,2.75003,2.74989,2.74975,2.74961,2.7494,2.74925,2.749,2.747
"18",18,2.52,2.755,2.754,2.753,2.75249,2.75233,2.75217,2.75204,2.75189,2.75173,2.751,2.75
"19",19,2.83,2.794,2.793,2.792,2.79195,2.79181,2.79165,2.7915,2.79136,2.79132,2.791,2.789
"20",20,2.56,2.692,2.69,2.689,2.68898,2.68879,2.68862,2.68844,2.68825,2.68807,2.688,2.686
"21",21,2.87,3.197,3.197,3.197,3.19654,3.19652,3.19649,3.19646,3.19628,3.19629,3.196,3.196
"22",22,2.96,3.111,3.11,3.109,3.10901,3.10888,3.10874,3.1086,3.10851,3.10836,3.108,3.107
"23",23,2.88,2.924,2.923,2.922,2.92206,2.92194,2.92183,2.92171,2.92159,2.92147,2.921,2.929
