"Molecules","CM5_100","CM5_114","CM5_120","CM5_127","CM1A","OPLS"
Acetic acid,0.012,0.014,0.018,0.02,0.023,0.014
Acetone,0.011,0.013,0.013,0.015,0.016,0.013
Acetonitrile,0.013,0.01,0.01,0.01,0.016,0.012
Aniline,0.018,0.03,0.023,0.024,0.043,0.021
Benzonitrile,0.018,0.02,0.016,0.026,0.019,0.027
Cyclohexane,0.021,0.021,0.03,0.018,0.02,0.023
Diethylamine,0.021,0.024,0.036,0.028,0.019,0.025
Diethylether,0.024,0.017,0.016,0.018,0.02,0.025
"N,N-diemthylacetamide",0.018,0.023,0.026,0.02,0.023,0.016
Ethanethiol,0.013,0.01,0.013,0.011,0.014,0.013
Ethanol,0.017,0.018,0.016,0.015,0.015,0.015
Furan,0.011,0.016,0.011,0.015,0.014,0.012
Hexane,0.023,0.025,0.025,0.038,0.03,0.019
Methanol,0.013,0.015,0.011,0.015,0.013,0.013
Methyl acetate,0.015,0.017,0.017,0.016,0.018,0.014
Nitroethane,0.011,0.018,0.015,0.019,0.016,0.015
N-methylacetamide,0.019,0.024,0.032,0.022,0.044,0.033
Phenol,0.019,0.023,0.019,0.018,0.017,0.023
Propylamine,0.018,0.014,0.021,0.022,0.019,0.024
Pyridine,0.017,0.018,0.022,0.021,0.019,0.018
Pyrrole,0.015,0.019,0.013,0.016,0.012,0.015
Tetrahydrofuran,0.017,0.016,0.015,0.016,0.019,0.02
