Molecules,1.00*CM5,1.05*CM5,1.09*CM5,1.13*CM5,1.14*CM5,1.15*CM5,1.18*CM5,1.20*CM5,1.22*CM5,1.25*CM5,1.27*CM5
Acetic acid,2.38,1.69,1.15,0.49,0.39,0.18,-0.25,-0.67,-0.96,-1.62,-1.97
Aniline,1.45,0.94,0.46,0.08,-0.29,-0.34,-0.76,-1.09,-1.36,-1.8,-2.01
Benzonitrile,-0.69,-1.01,-1.28,-1.72,-1.74,-1.84,-2.05,-2.27,-2.47,-2.78,-2.95
Acetonitrile,1.66,1.10,0.63,0.14,0.04,-0.10,-0.55,-0.79,-1.09,-1.48,-1.75
Cyclohexane,0.18,0.08,0.18,0.31,0.17,0.19,0.25,0.30,0.15,0.15,0.25
Diethylamine,0.92,0.90,0.68,0.72,0.6,0.50,0.47,0.26,0.30,0.19,0.02
"N,N-dimethylacetamide",-0.45,-0.99,-1.43,-1.96,-2.08,-2.24,-2.65,-2.98,-3.11,-3.4,-3.82
Diethyl ether,-0.27,-0.30,-0.29,-0.4,-0.47,-0.49,-0.52,-0.58,-0.61,-0.65,-0.66
Methyl acetate,-0.61,-0.85,-1.08,-1.37,-1.45,-1.49,-1.71,-1.84,-1.98,-2.26,-2.40
Ethanol,4.16,3.50,2.97,2.36,2.2,2.00,1.52,1.15,0.81,0.27,-0.08
Ethanethiol,0.42,0.37,0.26,0.17,0.17,0.16,0.10,0.11,-0.01,-0.05,-0.10
Furan,-0.06,-0.12,-0.19,-0.28,-0.3,-0.35,-0.39,-0.47,-0.47,-0.54,-0.61
Hexane,0.03,0.03,0.19,0.17,0.14,0.19,0.22,0.10,0.16,0.07,0.20
Acetone,0.52,0.18,-0.12,-0.31,-0.43,-0.47,-0.73,-0.88,-1.00,-1.27,-1.44
Methanol,4.06,3.45,2.96,2.37,2.22,2.09,1.61,1.24,0.96,0.46,0.11
Nitroethane,0.80,0.39,0.06,-0.3,-0.41,-0.52,-0.86,-1.02,-1.24,-1.51,-1.78
N-methylacetamide,0.11,-0.76,-1.61,-2.56,-2.69,-2.84,-3.48,-3.86,-4.52,-5.12,-5.76
Phenol,2.93,2.40,2.09,1.55,1.35,1.35,0.93,0.69,0.31,-0.07,-0.48
Propylamine,2.07,1.85,1.72,1.42,1.33,1.33,0.99,0.98,0.82,0.53,0.24
Pyridine,0.01,-0.18,-0.47,-0.71,-0.77,-0.86,-0.97,-1.17,-1.24,-1.43,-1.55
Pyrrole,1.92,1.47,1.02,0.48,0.42,0.22,-0.19,-0.57,-0.75,-1.25,-1.57
Tetrahydrofuran,0.33,0.21,0.11,0.01,-0.01,-0.12,-0.14,-0.22,-0.32,-0.4,-0.47
